county,state,year,days_under0,dewPoint,precipAccumulation,precip,days_under_n10,days_over42,days_over32,humidity,temp_delta,temperatureMin,apparentTemperatureMin,precipIntensity
jefferson,ID,2011,0,36.250923913,2.488,116,0,178,184,0.540489130435,27.757173913,41.9522826087,39.3005978261,0.00144673913043
jefferson,ID,2013,0,38.1289617486,0.206,110,0,177,183,0.515355191257,26.775136612,44.5330601093,42.5218579235,0.00129672131148
jefferson,MT,2013,0,38.5239344262,1.162,118,0,174,180,0.537103825137,25.5442622951,44.4184699454,42.3308196721,0.00189890710383
jerome,ID,2010,0,36.5967759563,0.432,92,0,182,183,0.474535519126,26.7301092896,47.2549726776,44.3883060109,0.000909836065574
jerome,ID,2011,0,38.3748913043,0.469,86,0,183,184,0.496847826087,26.8703804348,47.6330434783,44.729673913,0.000896739130435
jerome,ID,2013,0,38.4845901639,0.0,74,0,182,183,0.444207650273,25.2155191257,50.9232786885,48.852568306,0.000638797814208
johnson,WY,2013,0,39.8630601093,9.673,113,0,171,177,0.515300546448,22.6250273224,49.1659562842,46.8501092896,0.00179453551913
judith basin,MT,2013,0,38.8950819672,3.942,99,0,173,176,0.563278688525,23.2230054645,44.880273224,41.9159562842,0.00237103825137
kiowa,CO,2010,0,46.3944262295,0.0,114,0,183,183,0.531857923497,29.2426775956,53.5053551913,52.0509289617,0.00228032786885
kiowa,CO,2011,0,42.9120765027,0.0,116,0,183,183,0.480819672131,31.0173770492,52.6887978142,50.7653551913,0.00185792349727
kiowa,CO,2013,0,43.975136612,1.656,104,0,178,182,0.508469945355,27.4121857923,52.8668852459,51.0606010929,0.00200710382514
kit,CO,2010,0,47.1756043956,0.0,119,0,182,182,0.573076923077,28.0367582418,52.5885164835,50.6285164835,0.00223186813187
kit,CO,2011,0,45.1414130435,0.0,114,0,184,184,0.551739130435,29.1220108696,51.5164130435,49.0470652174,0.00271413043478
kit,CO,2013,0,46.6656284153,2.76,110,0,176,180,0.576338797814,26.5324043716,51.96,49.7473224044,0.00230765027322
kootenai,ID,2010,0,42.2508241758,0.0,123,0,180,182,0.614340659341,23.0749450549,46.7837362637,44.670989011,0.00228626373626
kootenai,ID,2011,0,40.1436612022,0.435,113,0,182,183,0.574644808743,24.8151912568,45.8636065574,43.7583060109,0.00193989071038
kootenai,ID,2012,0,37.95,0.0,0,0,1,1,0.52,26.8,46.23,45.22,0.0
kootenai,ID,2013,0,43.5958469945,0.0,89,0,183,183,0.586010928962,22.4681420765,49.1650273224,47.51,0.00171584699454
kootenai,ID,2014,0,43.76,0.0,1,0,1,1,0.73,18.82,41.09,41.09,0.0047
la plata,CO,2010,0,33.5768852459,0.076,84,0,183,183,0.44131147541,28.15,45.4852459016,43.9696174863,0.00131857923497
la plata,CO,2011,0,32.4240983607,0.424,99,0,183,183,0.416666666667,28.6208743169,46.0912021858,44.3038251366,0.00128469945355
la plata,CO,2013,0,34.693442623,0.181,108,0,180,183,0.444426229508,26.0184699454,47.0866666667,45.7120218579,0.00182677595628
lake,CO,2010,0,28.4167213115,13.397,98,0,168,179,0.51131147541,26.5118032787,36.5031147541,32.1877595628,0.00149234972678
lake,CO,2011,0,28.8968478261,17.305,114,0,171,181,0.529619565217,24.9892391304,36.7189130435,32.4354347826,0.00189510869565
lake,CO,2013,0,29.8882513661,17.178,117,0,164,179,0.541803278689,23.3379781421,37.4620218579,33.2864480874,0.00225355191257
lake,MT,2013,0,40.1738043478,3.456,128,0,173,178,0.598532608696,21.7192391304,44.9094021739,42.5767934783,0.00226956521739
laramie,WY,2013,0,41.6215300546,11.322,124,0,171,176,0.562459016393,24.9022404372,47.8830054645,45.3993442623,0.00224043715847
larimer,CO,2010,0,38.0891803279,4.189,109,0,182,183,0.503715846995,26.5378142077,47.4268306011,45.7769945355,0.00241202185792
larimer,CO,2011,0,36.8686413043,3.176,128,0,181,184,0.521304347826,25.45,45.4732608696,43.5316304348,0.00281956521739
larimer,CO,2013,0,37.894863388,15.533,127,0,171,176,0.518579234973,23.25,46.8047540984,44.962568306,0.00232459016393
las animas,CO,2010,0,42.2516939891,0.0,106,0,183,183,0.484098360656,27.7496174863,52.4949180328,51.0719125683,0.0023781420765
las animas,CO,2011,0,38.0823497268,0.186,104,0,183,183,0.414699453552,29.1332240437,52.5284153005,51.0030054645,0.00135300546448
las animas,CO,2013,0,40.2086885246,2.851,104,0,178,181,0.472240437158,25.8582513661,52.197704918,50.4113114754,0.00206612021858
latah,ID,2010,0,42.074863388,0.0,116,0,182,183,0.594808743169,23.8343715847,47.2881967213,45.4186885246,0.00207267759563
latah,ID,2011,0,40.494076087,0.0,118,0,183,184,0.569184782609,24.7932065217,46.5073913043,44.6966847826,0.00177173913043
latah,ID,2012,0,37.47,0.0,0,0,1,1,0.51,29.55,43.93,43.35,0.0
latah,ID,2013,0,43.0006557377,0.0,90,0,183,183,0.56131147541,23.3125136612,49.376557377,48.094863388,0.00172349726776
latah,ID,2014,0,42.93,0.0,1,0,1,1,0.68,15.15,45.24,45.24,0.0082
lemhi,ID,2010,0,35.4063934426,3.482,124,0,176,183,0.539453551913,27.6654644809,41.1281420765,38.9359562842,0.00588032786885
lemhi,ID,2011,0,35.1453804348,1.795,114,0,179,184,0.51972826087,29.1427173913,41.1532608696,38.8355434783,0.00186195652174
lemhi,ID,2013,0,36.4797826087,0.443,100,0,177,184,0.501032608696,28.1204891304,43.5566304348,41.6549456522,0.00381847826087
lewis,ID,2010,0,41.8359016393,0.0,117,0,182,183,0.599234972678,24.0852459016,46.7665027322,45.1083060109,0.00240382513661
lewis,ID,2011,0,40.6657065217,0.0,121,0,183,184,0.580326086957,24.8258695652,46.1594021739,44.5625,0.00226032608696
lewis,ID,2012,0,37.98,0.0,0,0,1,1,0.51,29.45,44.61,43.46,0.0
lewis,ID,2013,0,42.4116393443,0.0,100,0,183,183,0.554207650273,23.6757377049,49.0789617486,48.0155737705,0.00174918032787
lewis,ID,2014,0,42.4,0.0,1,0,1,1,0.69,12.85,45.51,45.51,0.0095
lews and clark,MT,2013,0,39.3639344262,3.277,122,0,174,179,0.541475409836,24.0917486339,46.111147541,43.9530054645,0.00190054644809
liberty,MT,2013,0,41.4374456522,1.732,112,0,174,179,0.599402173913,23.6058695652,45.6971195652,42.8901086957,0.00258152173913
lincoln,CO,2010,0,43.5149450549,0.0,104,0,182,182,0.529725274725,29.1906043956,50.8619230769,49.2578021978,0.00206538461538
lincoln,CO,2011,0,40.6920218579,0.0,110,0,183,183,0.495792349727,29.0819672131,50.1925136612,48.1167213115,0.00239234972678
lincoln,CO,2013,0,41.4833879781,2.51,108,0,176,179,0.527486338798,25.4690163934,50.0649180328,48.1757377049,0.00213387978142
lincoln,ID,2010,0,35.9925136612,0.681,96,0,181,183,0.48218579235,26.6483060109,45.9024043716,43.5293989071,0.00115245901639
lincoln,ID,2011,0,37.457173913,0.552,101,0,182,184,0.498043478261,27.05375,46.20125,43.7168478261,0.000989130434783
lincoln,ID,2013,0,37.7819125683,0.0,85,0,180,183,0.44825136612,25.4445355191,49.573715847,47.9020218579,0.00078306010929
lincoln,MT,2013,0,42.4118579235,1.838,121,0,175,183,0.632950819672,20.9350819672,45.9109289617,44.9680327869,0.00261038251366
lincoln,WY,2013,0,34.864863388,3.05,98,0,172,181,0.48,24.7343169399,45.1319672131,43.6490710383,0.00112896174863
logan,CO,2010,0,44.8078688525,0.0,121,0,183,183,0.560327868852,27.6085245902,50.7783606557,48.773442623,0.00265956284153
logan,CO,2011,0,45.5730978261,0.0,124,0,184,184,0.587880434783,28.2669021739,50.0666847826,47.5501086957,0.00328043478261
